TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
"Gardner Webb",91.988476145043,85.406738772815,0.70135120745341,0–1,0,1,38.8,44.8,22.4,55.2,16.2,18.9,23.8,44.1,74.2,46,53.1,11.8,0,6.1,14,40,26.9,25.4,15.5,76.2,,,,2024,,,,-0.24985091031353,66.7,78.1
"Prairie View A&M",91.515739076924,104.25838551659,0.18255155129,0–3,0,3,38.2,55.1,29.8,64.8,24.4,23.9,26.4,53.2,75.2,33.6,59.8,34,29.6,5.7,12.2,51.7,51.7,26.4,30.7,76.9,,,,2024,,,,-0.80262148047613,73.6,65.8
Chattanooga,109.52899792488,120.91400627139,0.24282781850561,0–1,0,1,45.1,64.4,26.2,31.8,14.1,12.7,18.4,48.4,70.8,39.3,63.4,33.3,44,7.3,28.6,72.7,62.2,54.1,37.9,68.4,,,,2024,,,,-0.13133532629464,68.8,76.2
"Georgia Southern",87.380679506852,101.30894368178,0.1543535375643,0–2,0,2,38.4,52.5,16.8,44.1,24.1,23.4,27.6,43.8,72.7,39.7,58.8,24.6,26.3,10,16.2,39,70.2,45.6,32.2,73.1,,,,2024,,,,-0.40409948552546,71.4,69.2
"Northern Arizona",96.621700819985,107.2448183954,0.23155080655599,0–1,0,1,36.4,62.3,27.1,64.9,16,13.1,20.5,45.5,68.6,38.6,78.1,20,28,12.5,22.7,40,46.9,25.4,43.9,71.7,,,,2024,,,,-0.059715698953025,56.3,64.9
Nebraska,114.64118443515,101.06616858179,0.80990058017089,2–6,2,8,51.7,54,25.5,31,14,15.5,19.5,31.6,70.5,49.3,50.7,36.8,38.5,7.4,7.7,52.1,58.1,41.3,45.9,71.4,,,,2024,,,,-0.70773664035155,81.5,76.3
Yale,113.06033333333,101.14575,0.78255684693439,0–2,0,2,49.1,55.4,19.5,27.3,20.1,16.4,25.4,36.9,67,44.1,52.4,37.8,41,8.5,8.8,59.6,52.5,39.8,32.2,65.8,,,,2024,,,,-0.45811514674328,90.9,81.8
"Tennessee Martin",101.81094445224,105.25375826856,0.40553598299364,0–2,0,2,41.3,52.2,31,26.5,16.7,12.5,30.6,31.3,71.9,44.2,50.8,24.5,35.6,7.9,18.2,43.5,56.9,38.9,53.7,72.1,,,,2024,,,,-0.70207249332734,66.7,72.2
"Morehead St.",101.21791666667,110.79908333333,0.26113238670993,0–2,0,2,44.2,63.4,19.4,55.4,17.7,14.9,30.5,37.5,70.6,48,66.7,25.9,39.1,7.6,12,42,56.5,41.9,41.1,68.4,,,,2024,,,,-0.32346417223351,64,80.6
Tennessee,117.7647455368,94.471354611212,0.92652605629575,6–5,6,11,50.7,50.5,38.8,47.3,13,17.9,29,30.3,73.6,52.6,52.2,32.1,32.1,12.1,8.7,52.5,53.3,43.4,41.3,71.9,,,,2024,,,,2.5588231151865,73,70.4
"Texas St.",86.898720364433,93.278352754818,0.306886732724,0–2,0,2,38.3,48.4,30.1,35,29.3,16.1,29.6,37.2,68.3,41,53.8,20,25.6,8.8,20.5,32.4,50,24.3,35,70.7,,,,2024,,,,-0.32905961087099,51.6,69.8
"Jackson St.",104.21941900278,102.40462575139,0.55033288667593,0–3,0,3,46,54,28.4,45.5,21.5,14.9,27.3,40,71.4,37.1,54.3,39.4,35.6,8.6,12.4,59.7,64,40.3,38.6,73.8,,,,2024,,,,-0.60157792628309,64,68.6
Mississippi,114.08181383634,104.88789655325,0.72437597979744,1–6,1,7,47.9,57.4,33.6,31.7,18.6,16.5,30.4,40.6,69.3,46.5,56.7,33.8,39,11.2,10.8,57.6,62.5,34.1,38,67.3,,,,2024,,,,-1.0341683744764,74.5,70.1
Wyoming,102.99688603604,105.91197852853,0.42044170103232,0–6,0,6,45,55,30.9,23.8,20.3,11,27.7,29,68.1,45.8,56.7,29.1,34.6,3.2,12.5,41.4,54.5,35.1,35.5,67.7,,,,2024,,,,-1.8166595311602,73.8,69.2
Minnesota,118.93326145345,108.69380808681,0.73794565979783,1–7,1,8,54,56.9,33.6,38.8,16.8,11.8,24.1,31.5,65.6,49.2,53,41.1,43.7,6.6,6.4,53,60.4,38,30.9,66.6,,,,2024,,,,-1.4272712149594,67.4,69.1
Illinois,129.54324746452,105.33577288421,0.91520484622145,5–6,5,11,51.3,53.1,37.8,33.3,13.8,11,33.2,31.7,68.8,49.1,50.8,36.3,39.5,8.2,6.9,43.4,47.6,39.6,27.6,69.8,,,,2024,,,,1.4684247345675,83.1,74.2
"Loyola Chicago",107.185,107.48716666667,0.49190715884246,0–1,0,1,49.2,67.2,14.8,22.4,14.6,16,16.2,25,68.7,45.7,58.1,40,51.9,12.9,10.9,40.7,50,24.6,46.6,69.6,,,,2024,,,,-0.29477834677122,55.6,76.9
Texas,120.03118265462,102.61029946865,0.8585565306682,4–8,4,12,50.9,55.2,28.9,34.9,15.8,17,28,33.8,66.8,51.1,52,33.8,41,10,10.4,56.2,52.1,32.7,33.3,67.7,,,,2024,,,,0.75160546685082,76.2,75.4
"Maryland Eastern Shore",103.62569820354,118.83240958399,0.17155003007015,0–1,0,1,45.7,66.1,22.4,45.8,23.5,13.2,32.4,43.3,68,40,71.1,38.9,38.1,2.6,7.5,47.8,37.1,31,35.6,67.9,,,,2024,,,,-0.37673372184104,61.5,55.6
"Western Illinois",89.950023197176,102.17840788643,0.18757255420598,0–2,0,2,37.3,57.1,29.1,23.5,18.1,13.4,25.9,36.5,63.4,36.1,56.9,26.3,38.3,12.5,12.5,33.3,30.5,34.5,39.5,63.3,,,,2024,,,,-0.47948582130486,59.4,67.9
